statename,distname,YEAR,RAPE,CUSTODIAL RAPE,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE
Chhattisgarh,Grp Raipur,2001,0,0,0,2,0,0,4,1,0
Chhattisgarh,Jagdalpur,2001,59,0,9,11,12,3,49,14,0
Chhattisgarh,Janjgir,2001,29,0,4,23,23,9,110,116,56
Chhattisgarh,Jashpur,2001,36,0,17,7,8,2,41,4,24
Chhattisgarh,Kanker,2001,42,0,2,9,3,1,36,10,26
Chhattisgarh,Kawardha,2001,35,0,2,4,4,1,45,15,12
Chhattisgarh,Korba,2001,46,0,6,47,7,1,90,31,67
Chhattisgarh,Koriya,2001,34,0,3,9,7,3,102,31,42
Chhattisgarh,Mahasamund,2001,43,0,8,27,10,6,69,21,63
Chhattisgarh,Raigarh,2001,53,0,39,17,4,2,104,22,39
Chhattisgarh,Raipur,2001,104,0,24,64,28,16,253,121,182
Chhattisgarh,Rajnandgaon,2001,58,0,10,14,11,3,92,51,0
Chhattisgarh,Sarguja,2001,145,0,6,31,32,1,223,62,0
Chhattisgarh,Total,2001,959,0,154,402,215,70,1763,840,689
Goa,North Goa,2001,4,0,25,29,10,2,12,6,110
Goa,South Goa,2001,8,0,14,33,6,0,5,5,81
Goa,Total,2001,12,0,39,62,16,2,17,11,191
Gujarat,Ahmedabad Commr.,2001,39,0,140,205,2,7,54,530,0
Gujarat,Ahmedabad Rural,2001,5,0,20,9,24,0,26,84,190
Gujarat,Ahwa-Dang,2001,1,0,3,4,2,0,2,2,14
Gujarat,Amreli,2001,2,0,15,21,17,2,21,94,73
Gujarat,Anand,2001,3,0,113,76,22,0,27,210,150
Gujarat,Bharuch,2001,4,0,70,71,22,0,19,56,180
Gujarat,Bhavnagar,2001,9,0,154,103,25,2,36,129,0
Gujarat,Dahod,2001,5,0,26,0,31,0,17,11,0
