statename,distname,YEAR,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,AUTO THEFT
Himachal Pradesh,Una,2001,5,1,2,38,9
Himachal Pradesh,Total,2001,126,4,28,600,142
Jammu & Kashmir,Anantnag,2001,59,5,16,83,15
Jammu & Kashmir,Awantipora,2001,14,0,4,19,1
Jammu & Kashmir,Baramulla,2001,75,2,16,156,19
Jammu & Kashmir,Border,2001,10,0,0,19,2
Jammu & Kashmir,Budgam,2001,40,0,2,94,5
Jammu & Kashmir,Crime Jammu,2001,0,0,0,0,0
Jammu & Kashmir,Crime Srinagar,2001,0,0,0,0,0
Jammu & Kashmir,Doda,2001,15,2,6,18,0
Jammu & Kashmir,Ganderbal,2001,33,1,0,44,7
Jammu & Kashmir,Jammu,2001,43,0,4,479,210
Jammu & Kashmir,Kargil,2001,2,0,0,6,3
Jammu & Kashmir,Kathua,2001,11,1,2,37,4
Jammu & Kashmir,Kulgam,2001,35,1,17,43,5
Jammu & Kashmir,Kupwara,2001,47,0,1,39,1
Jammu & Kashmir,Leh,2001,1,0,0,6,0
Jammu & Kashmir,Poonch,2001,16,1,0,67,0
Jammu & Kashmir,Pulwama,2001,37,1,27,144,16
Jammu & Kashmir,Railways,2001,0,0,0,3,0
Jammu & Kashmir,Rajouri,2001,20,2,4,21,0
Jammu & Kashmir,Ramban,2001,7,1,1,12,1
Jammu & Kashmir,Reasi,2001,11,1,0,22,0
Jammu & Kashmir,Srinagar,2001,115,6,59,490,333
Jammu & Kashmir,Udhampur,2001,15,0,2,117,11
Jammu & Kashmir,Total,2001,606,24,161,1919,633
Jharkhand,Bokaro,2001,38,38,66,435,35
Jharkhand,Chaibasa,2001,17,7,9,99,42
Jharkhand,Chatra,2001,10,23,15,80,8
Jharkhand,Deoghar,2001,7,13,15,129,29
Jharkhand,Dhanbad,2001,57,56,48,546,43
Jharkhand,Dhanbad Rly.,2001,4,12,13,209,2
Jharkhand,Dumka,2001,24,11,8,66,36
Jharkhand,Garhwa,2001,5,19,17,54,15
Jharkhand,Giridih,2001,15,56,27,111,56
Jharkhand,Godda,2001,30,24,18,70,49
Jharkhand,Gumla,2001,16,30,44,56,39
Jharkhand,Hazaribagh,2001,42,85,68,348,80
Jharkhand,Jamshedpur,2001,60,10,27,343,67
Jharkhand,Jamshedpur Rly.,2001,0,6,4,65,1
Jharkhand,Jamtara,2001,14,6,9,68,24
Jharkhand,Koderma,2001,14,13,15,77,3
Jharkhand,Latehar,2001,4,44,9,48,15
Jharkhand,Lohardagga,2001,14,8,11,28,16
Jharkhand,Pakur,2001,7,11,5,37,29
Jharkhand,Palamu,2001,14,43,32,94,20
Jharkhand,Ranchi,2001,1,81,140,647,97
Jharkhand,Sahebganj,2001,17,12,8,80,26
Jharkhand,Saraikela,2001,19,15,12,123,22
Jharkhand,Simdega,2001,12,13,27,14,0
Jharkhand,Total,2001,441,636,647,3827,754
Karnataka,Bagalkot,2001,17,2,3,105,27
Karnataka,Bangalore Commr.,2001,152,31,284,6293,2401
Karnataka,Bangalore Rural,2001,37,23,32,533,92
